,time,latitude,longitude,platform
37,2023-03-06 12:46:55,-37.158,16.047666666666665,WGSV3-052
36,2023-03-06 13:16:00,-37.158166666666666,16.0505,WGSV3-052
35,2023-03-06 13:31:00,-37.159666666666666,16.054166666666667,WGSV3-052
34,2023-03-06 13:46:00,-37.15983333333334,16.0545,WGSV3-052
33,2023-03-06 14:01:00,-37.159666666666666,16.054333333333332,WGSV3-052
32,2023-03-06 14:16:00,-37.15933333333333,16.053833333333333,WGSV3-052
31,2023-03-06 14:31:00,-37.15933333333333,16.05366666666667,WGSV3-052
30,2023-03-06 14:46:00,-37.15916666666667,16.0535,WGSV3-052
29,2023-03-06 15:01:00,-37.15933333333333,16.053,WGSV3-052
28,2023-03-06 15:16:01,-37.15933333333333,16.052500000000002,WGSV3-052
27,2023-03-06 15:31:01,-37.1595,16.05183333333333,WGSV3-052
26,2023-03-06 15:46:01,-37.1595,16.051,WGSV3-052
25,2023-03-06 16:01:01,-37.1595,16.050333333333334,WGSV3-052
24,2023-03-06 16:16:01,-37.1595,16.05,WGSV3-052
23,2023-03-06 16:31:01,-37.1595,16.05,WGSV3-052
22,2023-03-06 16:46:01,-37.1595,16.050166666666666,WGSV3-052
21,2023-03-06 17:01:01,-37.1595,16.050666666666665,WGSV3-052
20,2023-03-06 17:30:06,-37.15933333333333,16.051333333333332,WGSV3-052
19,2023-03-06 17:59:55,-37.15933333333333,16.053,WGSV3-052
18,2023-03-06 18:27:55,-37.15933333333333,16.053,WGSV3-052
17,2023-03-06 18:57:00,-37.1595,16.051,WGSV3-052
16,2023-03-06 19:12:00,-37.1595,16.050333333333334,WGSV3-052
15,2023-03-06 19:27:00,-37.1595,16.049500000000002,WGSV3-052
14,2023-03-06 19:42:00,-37.1595,16.048833333333334,WGSV3-052
13,2023-03-06 19:57:00,-37.159666666666666,16.049,WGSV3-052
12,2023-03-06 20:12:00,-37.15933333333333,16.049,WGSV3-052
11,2023-03-06 20:27:00,-37.159666666666666,16.049,WGSV3-052
10,2023-03-06 20:42:00,-37.159666666666666,16.049666666666667,WGSV3-052
9,2023-03-06 20:57:01,-37.154833333333336,16.053,WGSV3-052
8,2023-03-06 21:12:01,-37.14866666666667,16.057333333333336,WGSV3-052
7,2023-03-06 21:27:01,-37.14149999999999,16.06433333333333,WGSV3-052
6,2023-03-06 21:42:01,-37.1345,16.070833333333333,WGSV3-052
5,2023-03-06 21:57:01,-37.127833333333335,16.076833333333333,WGSV3-052
4,2023-03-06 22:12:01,-37.121833333333335,16.082,WGSV3-052
3,2023-03-06 22:27:01,-37.116166666666665,16.0865,WGSV3-052
2,2023-03-06 22:42:01,-37.11083333333333,16.091,WGSV3-052
1,2023-03-06 23:11:06,-37.09916666666666,16.101666666666667,WGSV3-052
0,2023-03-06 23:26:06,-37.093666666666664,16.106333333333335,WGSV3-052
130,2023-03-06 23:41:06,-37.088,16.111,WGSV3-052
129,2023-03-06 23:56:07,-37.08183333333333,16.116333333333333,WGSV3-052
128,2023-03-07 00:11:07,-37.076,16.121,WGSV3-052
127,2023-03-07 00:26:07,-37.07033333333333,16.125333333333334,WGSV3-052
126,2023-03-07 00:41:07,-37.06716666666667,16.138333333333332,WGSV3-052
125,2023-03-07 00:56:07,-37.06666666666667,16.157333333333334,WGSV3-052
124,2023-03-07 01:11:07,-37.059999999999995,16.167666666666666,WGSV3-052
123,2023-03-07 01:26:07,-37.053,16.175833333333333,WGSV3-052
122,2023-03-07 01:41:07,-37.04716666666666,16.179666666666666,WGSV3-052
121,2023-03-07 01:56:07,-37.04216666666667,16.182000000000002,WGSV3-052
120,2023-03-07 02:11:08,-37.036833333333334,16.185166666666664,WGSV3-052
119,2023-03-07 02:26:08,-37.031666666666666,16.188166666666667,WGSV3-052
118,2023-03-07 02:41:08,-37.02616666666667,16.191,WGSV3-052
117,2023-03-07 02:56:08,-37.02066666666666,16.193833333333334,WGSV3-052
116,2023-03-07 03:25:13,-37.0095,16.198666666666668,WGSV3-052
115,2023-03-07 03:40:13,-37.00333333333333,16.2015,WGSV3-052
114,2023-03-07 03:55:13,-36.997,16.204166666666666,WGSV3-052
113,2023-03-07 04:10:13,-36.991,16.206666666666667,WGSV3-052
112,2023-03-07 04:25:14,-36.984833333333334,16.208833333333335,WGSV3-052
111,2023-03-07 04:40:14,-36.97866666666666,16.210833333333333,WGSV3-052
110,2023-03-07 04:55:14,-36.97266666666667,16.212666666666667,WGSV3-052
109,2023-03-07 05:10:14,-36.96666666666667,16.214333333333332,WGSV3-052
108,2023-03-07 05:25:14,-36.96066666666666,16.215500000000002,WGSV3-052
107,2023-03-07 05:40:14,-36.95466666666667,16.216166666666666,WGSV3-052
106,2023-03-07 05:55:14,-36.94866666666667,16.216333333333335,WGSV3-052
105,2023-03-07 06:10:14,-36.94266666666667,16.216666666666665,WGSV3-052
104,2023-03-07 06:25:14,-36.936166666666665,16.216666666666665,WGSV3-052
103,2023-03-07 06:40:15,-36.930166666666665,16.216333333333335,WGSV3-052
102,2023-03-07 06:55:15,-36.92433333333334,16.216166666666666,WGSV3-052
101,2023-03-07 07:10:15,-36.92366666666667,16.2165,WGSV3-052
100,2023-03-07 07:39:20,-36.931333333333335,16.217666666666666,WGSV3-052
99,2023-03-07 07:54:20,-36.935500000000005,16.21833333333333,WGSV3-052
98,2023-03-07 08:09:20,-36.940000000000005,16.219,WGSV3-052
97,2023-03-07 08:24:20,-36.945166666666665,16.219833333333334,WGSV3-052
96,2023-03-07 08:39:20,-36.95,16.220666666666666,WGSV3-052
95,2023-03-07 08:54:20,-36.9545,16.221333333333334,WGSV3-052
